millis,target_rpm,rpm,error,p_term,i_term,output,sat
499,0,0.00,0.00,0.00,0.00,0,0
699,0,0.00,0.00,0.00,0.00,0,0
899,0,0.00,0.00,0.00,0.00,0,0
1099,0,0.00,0.00,0.00,0.00,0,0
1299,0,0.00,0.00,0.00,0.00,0,0
1499,0,0.00,0.00,0.00,0.00,0,0
1699,0,0.00,0.00,0.00,0.00,0,0
1899,0,0.00,0.00,0.00,0.00,0,0
2099,0,0.00,0.00,0.00,0.00,0,0
2299,0,0.00,0.00,0.00,0.00,0,0
2499,0,0.00,0.00,0.00,0.00,0,0
2699,0,0.00,0.00,0.00,0.00,0,0
2899,0,0.00,0.00,0.00,0.00,0,0
3099,0,0.00,0.00,0.00,0.00,0,0
3299,0,0.00,0.00,0.00,0.00,0,0
3499,0,0.00,0.00,0.00,0.00,0,0
3699,0,0.00,0.00,0.00,0.00,0,0
3899,0,0.00,0.00,0.00,0.00,0,0
4099,0,0.00,0.00,0.00,0.00,0,0
4299,0,0.00,0.00,0.00,0.00,0,0
4499,0,0.00,0.00,0.00,0.00,0,0
4699,0,0.00,0.00,0.00,0.00,0,0
4899,0,0.00,0.00,0.00,0.00,0,0
5099,0,0.00,0.00,0.00,0.00,0,0
5299,0,0.00,0.00,0.00,0.00,0,0
5499,0,0.00,0.00,0.00,0.00,0,0
5699,0,0.00,0.00,0.00,0.00,0,0
5899,0,0.00,0.00,0.00,0.00,0,0
6099,0,0.00,0.00,0.00,0.00,0,0
6299,0,0.00,0.00,0.00,0.00,0,0
6499,0,0.00,0.00,0.00,0.00,0,0
6699,0,0.00,0.00,0.00,0.00,0,0
6899,0,0.00,0.00,0.00,0.00,0,0
7099,0,0.00,0.00,0.00,0.00,0,0
7299,0,0.00,0.00,0.00,0.00,0,0
7499,0,0.00,0.00,0.00,0.00,0,0
7699,0,0.00,0.00,0.00,0.00,0,0
7899,0,0.00,0.00,0.00,0.00,0,0
8099,0,0.00,0.00,0.00,0.00,0,0
8299,0,0.00,0.00,0.00,0.00,0,0
8499,0,0.00,0.00,0.00,0.00,0,0
8699,0,0.00,0.00,0.00,0.00,0,0
8899,0,0.00,0.00,0.00,0.00,0,0
9099,0,0.00,0.00,0.00,0.00,0,0
9299,0,0.00,0.00,0.00,0.00,0,0
9499,0,0.00,0.00,0.00,0.00,0,0
9699,0,0.00,0.00,0.00,0.00,0,0
9899,100,0.00,100.00,40.00,6.00,46,0
10099,100,14.16,85.84,34.34,11.15,45,0
10299,100,30.12,69.88,27.95,15.34,43,0
10499,100,35.16,64.84,25.94,19.23,45,0
10699,100,38.16,61.84,24.74,22.94,47,0
10899,100,41.64,58.36,23.34,26.45,49,0
11099,100,45.48,54.52,21.81,29.72,51,0
11299,100,49.80,50.20,20.08,32.73,52,0
11499,100,52.68,47.32,18.93,35.57,54,0
11699,100,56.40,43.60,17.44,38.18,55,0
11899,100,59.52,40.48,16.19,40.61,56,0
12099,100,61.68,38.32,15.33,42.91,58,0
12299,100,64.32,35.68,14.27,45.05,59,0
12499,100,67.32,32.68,13.07,47.01,60,0
12699,100,69.00,31.00,12.40,48.87,61,0
12899,100,71.16,28.84,11.54,50.60,62,0
13099,100,72.72,27.28,10.91,52.24,63,0
13299,100,75.00,25.00,10.00,53.74,63,0
13499,100,75.60,24.40,9.76,55.20,64,0
13699,100,76.80,23.20,9.28,56.60,65,0
13899,100,78.24,21.76,8.70,57.90,66,0
14099,100,79.44,20.56,8.22,59.14,67,0
14299,100,80.88,19.12,7.65,60.28,67,0
14499,100,82.20,17.80,7.12,61.35,68,0
14699,100,82.80,17.20,6.88,62.38,69,0
14899,100,84.12,15.88,6.35,63.34,69,0
15099,100,85.20,14.80,5.92,64.22,70,0
15299,100,86.16,13.84,5.54,65.05,70,0
15499,100,86.40,13.60,5.44,65.87,71,0
15699,100,86.64,13.36,5.34,66.67,72,0
15899,100,86.40,13.60,5.44,67.49,72,0
16099,100,88.32,11.68,4.67,68.19,72,0
16299,100,89.04,10.96,4.38,68.85,73,0
16499,100,90.48,9.52,3.81,69.42,73,0
16699,100,90.36,9.64,3.86,70.00,73,0
16899,100,90.72,9.28,3.71,70.55,74,0
17099,100,91.56,8.44,3.38,71.06,74,0
17299,100,91.92,8.08,3.23,71.54,74,0
17499,100,91.92,8.08,3.23,72.03,75,0
17699,100,92.88,7.12,2.85,72.46,75,0
17899,100,93.12,6.88,2.75,72.87,75,0
18099,100,93.12,6.88,2.75,73.28,76,0
18299,100,94.08,5.92,2.37,73.64,76,0
18499,100,94.32,5.68,2.27,73.98,76,0
18699,100,94.32,5.68,2.27,74.32,76,0
18899,100,94.92,5.08,2.03,74.62,76,0
19099,100,94.44,5.56,2.22,74.96,77,0
19299,100,95.04,4.96,1.98,75.25,77,0
19499,100,95.28,4.72,1.89,75.54,77,0
19699,100,96.00,4.00,1.60,75.78,77,0
19899,100,95.52,4.48,1.79,76.05,77,0
20099,100,95.76,4.24,1.70,76.30,77,0
20299,100,96.24,3.76,1.50,76.53,78,0
20499,100,96.00,4.00,1.60,76.77,78,0
20699,100,96.48,3.52,1.41,76.98,78,0
20899,100,97.20,2.80,1.12,77.15,78,0
21099,100,96.72,3.28,1.31,77.34,78,0
21299,100,96.60,3.40,1.36,77.55,78,0
21499,100,97.20,2.80,1.12,77.71,78,0
21699,100,96.84,3.16,1.26,77.90,79,0
21899,100,97.20,2.80,1.12,78.07,79,0
22099,100,97.92,2.08,0.83,78.20,79,0
22299,100,97.80,2.20,0.88,78.33,79,0
22499,100,97.80,2.20,0.88,78.46,79,0
22699,100,97.80,2.20,0.88,78.59,79,0
22899,100,98.28,1.72,0.69,78.70,79,0
23099,100,97.92,2.08,0.83,78.82,79,0
23299,100,97.92,2.08,0.83,78.95,79,0
23499,100,98.40,1.60,0.64,79.04,79,0
23699,100,97.92,2.08,0.83,79.17,79,0
23899,100,97.92,2.08,0.83,79.29,80,0
24099,100,98.64,1.36,0.54,79.37,79,0
24299,100,98.40,1.60,0.64,79.47,80,0
24499,100,98.40,1.60,0.64,79.56,80,0
24699,100,99.36,0.64,0.26,79.60,79,0
24899,100,98.64,1.36,0.54,79.68,80,0
25099,100,98.40,1.60,0.64,79.78,80,0
25299,100,99.36,0.64,0.26,79.82,80,0
25499,100,98.88,1.12,0.45,79.89,80,0
25699,100,98.88,1.12,0.45,79.95,80,0
25899,100,99.12,0.88,0.35,80.01,80,0
26099,100,99.60,0.40,0.16,80.03,80,0
26299,100,98.88,1.12,0.45,80.10,80,0
26499,100,99.12,0.88,0.35,80.15,80,0
26699,100,99.60,0.40,0.16,80.17,80,0
26899,100,99.00,1.00,0.40,80.23,80,0
27099,100,99.00,1.00,0.40,80.29,80,0
27299,100,99.60,0.40,0.16,80.32,80,0
27499,100,99.12,0.88,0.35,80.37,80,0
27699,100,99.12,0.88,0.35,80.42,80,0
27899,100,99.48,0.52,0.21,80.46,80,0
28099,100,99.00,1.00,0.40,80.52,80,0
28299,100,99.12,0.88,0.35,80.57,80,0
28499,100,99.60,0.40,0.16,80.59,80,0
28699,100,99.12,0.88,0.35,80.64,80,0
28899,100,99.12,0.88,0.35,80.70,81,0
29099,100,99.60,0.40,0.16,80.72,80,0
29299,100,100.08,-0.08,-0.03,80.72,80,0
29499,100,99.12,0.88,0.35,80.77,81,0
29699,100,99.84,0.16,0.06,80.78,80,0
29899,100,100.08,-0.08,-0.03,80.77,80,0
30099,100,99.36,0.64,0.26,80.81,81,0
30299,100,99.60,0.40,0.16,80.84,80,0
30499,100,100.08,-0.08,-0.03,80.83,80,0
30699,100,99.36,0.64,0.26,80.87,81,0
30899,100,99.48,0.52,0.21,80.90,81,0
31099,100,100.44,-0.44,-0.18,80.88,80,0
31299,100,99.84,0.16,0.06,80.88,80,0
31499,100,99.36,0.64,0.26,80.92,81,0
31699,100,100.08,-0.08,-0.03,80.92,80,0
31899,100,99.36,0.64,0.26,80.96,81,0
32099,100,99.60,0.40,0.16,80.98,81,0
32299,100,100.08,-0.08,-0.03,80.98,80,0
32499,100,100.32,-0.32,-0.13,80.96,80,0
32699,100,99.36,0.64,0.26,81.00,81,0
32899,100,99.84,0.16,0.06,81.00,81,0
33099,100,100.56,-0.56,-0.22,80.97,80,0
33299,100,100.08,-0.08,-0.03,80.97,80,0
33499,100,99.60,0.40,0.16,80.99,81,0
33699,100,100.32,-0.32,-0.13,80.97,80,0
33899,100,99.84,0.16,0.06,80.98,81,0
34099,100,99.60,0.40,0.16,81.00,81,0
34299,100,99.84,0.16,0.06,81.01,81,0
34499,100,99.12,0.88,0.35,81.07,81,0
34699,100,98.88,1.12,0.45,81.13,81,0
34899,100,99.36,0.64,0.26,81.17,81,0
35099,100,98.64,1.36,0.54,81.25,81,0
35299,100,98.64,1.36,0.54,81.34,81,0
35499,100,98.04,1.96,0.78,81.45,82,0
35699,100,98.52,1.48,0.59,81.54,82,0
35899,100,98.40,1.60,0.64,81.64,82,0
36099,100,97.92,2.08,0.83,81.76,82,0
36299,100,98.28,1.72,0.69,81.87,82,0
36499,100,97.80,2.20,0.88,82.00,82,0
36699,100,97.56,2.44,0.98,82.14,83,0
36899,100,98.28,1.72,0.69,82.25,82,0
37099,100,97.92,2.08,0.83,82.37,83,0
37299,100,97.68,2.32,0.93,82.51,83,0
37499,100,98.52,1.48,0.59,82.60,83,0
37699,100,98.40,1.60,0.64,82.70,83,0
37899,100,98.28,1.72,0.69,82.80,83,0
38099,100,98.64,1.36,0.54,82.88,83,0
38299,100,98.64,1.36,0.54,82.96,83,0
38499,100,98.40,1.60,0.64,83.06,83,0
38699,100,98.16,1.84,0.74,83.17,83,0
38899,100,98.88,1.12,0.45,83.24,83,0
39099,100,98.28,1.72,0.69,83.34,84,0
39299,100,98.28,1.72,0.69,83.44,84,0
39499,100,99.36,0.64,0.26,83.48,83,0
39699,100,98.64,1.36,0.54,83.56,84,0
39899,100,99.12,0.88,0.35,83.62,83,0
40099,100,102.36,-2.36,-0.94,83.47,82,0
40299,100,102.84,-2.84,-1.14,83.30,82,0
40499,100,102.48,-2.48,-0.99,83.16,82,0
40699,100,100.56,-0.56,-0.22,83.12,82,0
