millis,duty,count,rpm
499,0,0,0.00
699,0,0,0.00
899,0,0,0.00
1099,0,0,0.00
1299,0,0,0.00
1499,0,0,0.00
1699,0,0,0.00
1899,0,0,0.00
2099,0,0,0.00
2299,0,0,0.00
2499,0,0,0.00
2699,0,0,0.00
2899,0,0,0.00
3099,0,0,0.00
3299,0,0,0.00
3499,0,0,0.00
3699,0,0,0.00
3899,0,0,0.00
4099,0,0,0.00
4299,0,0,0.00
4499,0,0,0.00
4699,0,0,0.00
4899,0,0,0.00
5099,0,0,0.00
5299,0,0,0.00
5499,0,0,0.00
5699,0,0,0.00
5899,0,0,0.00
6099,0,0,0.00
6299,0,0,0.00
6499,0,0,0.00
6699,0,0,0.00
6899,0,0,0.00
7099,0,0,0.00
7299,0,0,0.00
7499,0,0,0.00
7699,0,0,0.00
7899,0,0,0.00
8099,0,0,0.00
8299,0,0,0.00
8499,0,0,0.00
8699,0,0,0.00
8899,0,0,0.00
9099,0,0,0.00
9299,0,0,0.00
9499,0,0,0.00
9699,0,0,0.00
9899,0,0,0.00
10099,0,0,0.00
10299,0,0,0.00
10499,0,0,0.00
10699,0,0,0.00
10899,0,0,0.00
11099,0,0,0.00
11299,0,0,0.00
11499,0,0,0.00
11699,0,0,0.00
11899,0,0,0.00
12099,0,0,0.00
12299,0,0,0.00
12499,0,0,0.00
12699,0,0,0.00
12899,0,0,0.00
13099,0,0,0.00
13299,0,0,0.00
13499,0,0,0.00
13699,0,0,0.00
13899,0,0,0.00
14099,0,0,0.00
14299,0,0,0.00
14499,0,0,0.00
14699,0,0,0.00
14899,0,0,0.00
15099,0,0,0.00
15299,0,0,0.00
15499,0,0,0.00
15699,0,0,0.00
15899,0,0,0.00
16099,0,0,0.00
16299,0,0,0.00
16499,0,0,0.00
16699,0,0,0.00
16899,0,0,0.00
17099,0,0,0.00
17299,0,0,0.00
17499,0,0,0.00
17699,25,2,0.24
17899,25,2,0.00
18099,25,2,0.00
18299,25,2,0.00
18499,25,2,0.00
18699,25,2,0.00
18899,25,2,0.00
19099,25,2,0.00
19299,25,3,0.12
19499,25,3,0.00
19699,25,3,0.00
19899,25,4,0.12
20099,25,4,0.00
20299,25,4,0.00
20499,25,4,0.00
20699,25,4,0.00
20899,51,102,11.76
21099,51,392,34.80
21299,51,756,43.68
21499,51,1158,48.24
21699,51,1570,49.44
21899,51,1990,50.40
22099,51,2416,51.12
22299,51,2842,51.12
22499,51,3270,51.36
22699,51,3700,51.60
22899,51,4136,52.32
23099,51,4567,51.72
23299,51,4998,51.72
23499,51,5430,51.84
23699,51,5861,51.72
23899,51,6292,51.72
24099,51,6725,51.96
24299,51,7156,51.72
24499,51,7586,51.60
24699,51,8019,51.96
24899,51,8450,51.72
25099,51,8880,51.60
25299,51,9314,52.08
25499,51,9744,51.60
25699,51,10174,51.60
25899,51,10606,51.84
26099,76,11080,56.88
26299,76,11724,77.28
26499,76,12434,85.20
26699,76,13170,88.32
26899,76,13906,88.32
27099,76,14643,88.44
27299,76,15386,89.16
27499,76,16124,88.56
27699,76,16866,89.04
27899,76,17611,89.40
28099,76,18353,89.04
28299,76,19096,89.16
28499,76,19843,89.64
28699,76,20587,89.28
28899,76,21330,89.16
29099,76,22076,89.52
29299,76,22824,89.76
29499,76,23572,89.76
29699,76,24318,89.52
29899,102,25080,91.44
30099,102,25948,104.16
30299,102,26852,108.48
30499,102,27770,110.16
30699,102,28684,109.68
30899,102,29601,110.04
31099,102,30522,110.52
31299,102,31438,109.92
31499,102,32357,110.28
31699,102,33281,110.88
31899,102,34200,110.28
32099,102,35118,110.16
32299,102,36040,110.64
32499,102,36967,111.24
32699,102,37888,110.52
32899,102,38808,110.40
33099,102,39734,111.12
33299,102,40658,110.88
33499,102,41582,110.88
33699,127,42516,112.08
33899,127,43513,119.64
34099,127,44534,122.52
34299,127,45564,123.60
34499,127,46590,123.12
34699,127,47616,123.12
34899,127,48646,123.60
35099,127,49672,123.12
35299,127,50698,123.12
35499,127,51723,123.00
35699,127,52754,123.72
35899,127,53779,123.00
36099,127,54804,123.00
36299,127,55836,123.84
36499,127,56860,122.88
36699,127,57886,123.12
36899,127,58917,123.72
37099,127,59942,123.00
37299,127,60970,123.36
37499,127,62004,124.08
37699,127,63032,123.36
37899,127,64062,123.60
38099,127,65096,124.08
38299,127,66124,123.36
38499,127,67152,123.36
38699,153,68182,123.60
38899,153,69268,130.32
39099,153,70370,132.24
39299,153,71474,132.48
39499,153,72584,133.20
39699,153,73688,132.48
39899,153,74793,132.60
40099,153,75903,133.20
40299,153,77008,132.60
40499,153,78112,132.48
40699,153,79222,133.20
40899,153,80326,132.48
41099,153,81432,132.72
41299,153,82542,133.20
41499,153,83647,132.60
41699,153,84752,132.60
41899,153,85857,132.60
42099,153,86968,133.32
42299,153,88074,132.72
42499,153,89178,132.48
42699,153,90290,133.44
42899,153,91395,132.60
43099,153,92500,132.60
43299,153,93612,133.44
43499,153,94718,132.72
43699,153,95824,132.72
43899,153,96936,133.44
44099,153,98042,132.72
44299,153,99148,132.72
44499,153,100260,133.44
44699,153,101366,132.72
44899,178,102474,132.96
45099,178,103612,136.56
45299,178,104764,138.24
45499,178,105909,137.40
45699,178,107054,137.40
45899,178,108206,138.24
46099,178,109352,137.52
46299,178,110498,137.52
46499,178,111650,138.24
46699,178,112796,137.52
46899,178,113942,137.52
47099,178,115094,138.24
47299,178,116240,137.52
47499,178,117387,137.64
47699,178,118540,138.36
47899,178,119687,137.64
48099,178,120834,137.64
48299,178,121982,137.76
48499,178,123136,138.48
48699,178,124284,137.76
48899,178,125432,137.76
49099,178,126584,138.24
49299,178,127732,137.76
49499,178,128882,138.00
49699,178,130036,138.48
49899,204,131185,137.88
50099,204,132358,140.76
50299,204,133540,141.84
50499,204,134717,141.24
50699,204,135894,141.24
50899,204,137077,141.96
51099,204,138254,141.24
51299,204,139432,141.36
51499,204,140608,141.12
51699,204,141792,142.08
51899,204,142970,141.36
52099,204,144146,141.12
52299,204,145330,142.08
52499,204,146508,141.36
52699,204,147686,141.36
52899,204,148870,142.08
53099,204,150048,141.36
53299,204,151227,141.48
53499,204,152410,141.96
53699,204,153589,141.48
53899,204,154768,141.48
54099,204,155952,142.08
54299,204,157130,141.36
54499,204,158308,141.36
54699,204,159486,141.36
54899,204,160670,142.08
55099,204,161848,141.36
55299,204,163026,141.36
55499,204,164211,142.20
55699,229,165398,142.44
55899,229,166595,143.64
56099,229,167799,144.48
56299,229,168999,144.00
56499,229,170198,143.88
56699,229,171404,144.72
56899,229,172604,144.00
57099,229,173804,144.00
57299,229,175010,144.72
57499,229,176211,144.12
57699,229,177411,144.00
57899,229,178611,144.00
58099,229,179816,144.60
58299,229,181016,144.00
58499,229,182216,144.00
58699,229,183424,144.96
58899,229,184624,144.00
59099,229,185824,144.00
59299,229,187030,144.72
59499,229,188230,144.00
59699,229,189431,144.12
59899,229,190638,144.84
60099,229,191838,144.00
60299,229,193040,144.24
60499,229,194246,144.72
60699,229,195448,144.24
60899,229,196648,144.00
61099,229,197850,144.24
61299,229,199057,144.84
61499,229,200258,144.12
61699,229,201460,144.24
61899,229,202666,144.72
62099,229,203868,144.24
62299,229,205070,144.24
62499,229,206278,144.96
62699,229,207480,144.24
62899,255,208712,147.84
63099,255,209964,150.24
63299,255,211212,149.76
63499,255,212460,149.76
63699,255,213714,150.48
63899,255,214962,149.76
64099,255,216209,149.64
64299,255,217456,149.64
64499,255,218710,150.48
64699,255,219958,149.76
64899,255,221206,149.76
65099,255,222460,150.48
65299,255,223708,149.76
65499,255,224956,149.76
65699,255,226210,150.48
65899,255,227458,149.76
66099,255,228706,149.76
66299,255,229960,150.48
66499,255,231209,149.88
66699,255,232458,149.88
66899,255,233712,150.48
67099,255,234960,149.76
67299,229,236178,146.16
67499,229,237381,144.36
67699,229,238590,145.08
67899,229,239792,144.24
68099,229,240995,144.36
68299,229,242204,145.08
68499,229,243406,144.24
68699,229,244609,144.36
68899,229,245818,145.08
69099,229,247021,144.36
69299,229,248224,144.36
69499,229,249433,145.08
69699,229,250636,144.36
69899,229,251840,144.48
70099,229,253048,144.96
70299,229,254252,144.48
70499,204,255446,143.28
70699,204,256630,142.08
70899,204,257818,142.56
71099,204,259000,141.84
71299,204,260184,142.08
71499,204,261372,142.56
71699,204,262555,141.96
71899,204,263738,141.96
72099,204,264928,142.80
72299,204,266110,141.84
72499,204,267294,142.08
72699,204,268482,142.56
72899,204,269666,142.08
73099,204,270849,141.96
73299,204,272039,142.80
73499,204,273222,141.96
73699,204,274405,141.96
73899,204,275588,141.96
74099,204,276778,142.80
74299,204,277961,141.96
74499,204,279144,141.96
74699,178,280334,142.80
74899,178,281494,139.20
75099,178,282648,138.48
75299,178,283808,139.20
75499,178,284962,138.48
75699,178,286114,138.24
75899,178,287274,139.20
76099,178,288428,138.48
76299,178,289584,138.72
76499,178,290746,139.44
76699,178,291902,138.72
76899,178,293056,138.48
77099,178,294208,138.24
77299,178,295368,139.20
77499,178,296522,138.48
77699,178,297676,138.48
77899,178,298838,139.44
78099,178,299993,138.60
78299,178,301148,138.60
78499,178,302310,139.44
78699,153,303460,138.00
78899,153,304582,134.64
79099,153,305706,134.88
79299,153,306824,134.16
79499,153,307940,133.92
79699,153,309064,134.88
79899,153,310180,133.92
80099,153,311297,134.04
80299,153,312414,134.04
80499,153,313536,134.64
80699,153,314652,133.92
80899,153,315769,134.04
81099,153,316891,134.64
81299,153,318008,134.04
81499,153,319124,133.92
81699,153,320246,134.64
81899,153,321364,134.16
82099,153,322480,133.92
82299,127,323600,134.40
82499,127,324664,127.68
82699,127,325710,125.52
82899,127,326760,126.00
83099,127,327804,125.28
83299,127,328848,125.28
83499,127,329892,125.28
83699,127,330942,126.00
83899,127,331986,125.28
84099,127,333030,125.28
84299,127,334079,125.88
84499,127,335123,125.28
84699,127,336167,125.28
84899,127,337216,125.88
85099,127,338260,125.28
85299,127,339304,125.28
85499,127,340354,126.00
85699,127,341398,125.28
85899,127,342442,125.28
86099,127,343492,126.00
86299,127,344536,125.28
86499,127,345580,125.28
86699,102,346580,120.00
86899,102,347544,115.68
87099,102,348496,114.24
87299,102,349444,113.76
87499,102,350396,114.24
87699,102,351342,113.52
87899,102,352288,113.52
88099,102,353238,114.00
88299,102,354185,113.64
88499,102,355131,113.52
88699,102,356082,114.12
88899,102,357028,113.52
89099,102,357974,113.52
89299,102,358924,114.00
89499,102,359870,113.52
89699,102,360816,113.52
89899,102,361762,113.52
90099,102,362714,114.24
90299,102,363660,113.52
90499,76,364580,110.40
90699,76,365416,100.32
90899,76,366214,95.76
91099,76,367000,94.32
91299,76,367786,94.32
91499,76,368566,93.60
91699,76,369346,93.60
91899,76,370130,94.08
92099,76,370909,93.48
92299,76,371688,93.48
92499,76,372470,93.84
92699,76,373249,93.48
92899,76,374028,93.48
93099,76,374806,93.36
93299,76,375588,93.84
93499,76,376366,93.36
93699,76,377144,93.36
93899,51,377852,84.96
94099,51,378438,70.32
94299,51,378968,63.60
94499,51,379472,60.48
94699,51,379956,58.08
94899,51,380432,57.12
95099,51,380906,56.88
95299,51,381376,56.40
95499,51,381846,56.40
95699,51,382316,56.40
95899,51,382784,56.16
96099,51,383252,56.16
96299,51,383720,56.16
96499,51,384192,56.64
96699,51,384660,56.16
96899,51,385128,56.16
97099,51,385598,56.40
97299,51,386066,56.16
97499,51,386534,56.16
97699,51,387004,56.40
97899,51,387472,56.16
98099,51,387941,56.28
98299,51,388412,56.52
98499,51,388880,56.16
98699,51,389348,56.16
98899,51,389818,56.40
99099,51,390286,56.16
99299,25,390718,51.84
99499,25,390973,30.60
99699,25,391098,15.00
99899,25,391151,6.36
100099,25,391166,1.80
100299,25,391172,0.72
100499,25,391172,0.00
100699,25,391172,0.00
100899,25,391172,0.00
101099,25,391172,0.00
101299,25,391172,0.00
101499,25,391172,0.00
101699,25,391172,0.00
101899,25,391172,0.00
102099,25,391172,0.00
102299,25,391172,0.00
102499,25,391172,0.00
102699,25,391172,0.00
102899,25,391172,0.00
103099,0,391172,0.00
103299,0,391172,0.00
103499,0,391172,0.00
103699,0,391172,0.00
103899,0,391172,0.00
104099,0,391172,0.00
104299,0,391172,0.00
104499,0,391172,0.00
104699,0,391172,0.00
104899,0,391172,0.00
105099,0,391172,0.00
105299,0,391172,0.00
105499,0,391172,0.00
105699,0,391172,0.00
105899,0,391172,0.00
106099,0,391172,0.00
106299,0,391172,0.00
106499,0,391172,0.00
106699,0,391172,0.00
106899,0,391172,0.00
107099,0,391172,0.00
107299,0,391172,0.00
